cow,dudder_cl,dtnf_lb_cl,dtnf_lf_cl,dtnf_rf_cl,dtnf_rb_cl,all_cl_x,dim,dtnf_udder_dim_cl,dtnf_lf_dim_cl,dtnf_lb_dim_cl,dtnf_rf_dim_cl,dtnf_rb_dim_cl,dtnf_all_dim_cl,dudder_7d_x,dtnf_lb_7d_x,dtnf_lf_7d_x,dtnf_rf_7d_x,dtnf_rb_7d_x,all_7d_x,dtnf_udder_dim_7d_x,dtnf_lf_dim_7d_x,dtnf_lb_dim_7d_x,dtnf_rf_dim_7d_x,dtnf_rb_dim_7d_x,dtnf_all_dim_7d_x,vudder_cl,vtnf_lb_cl,vtnf_lf_cl,vtnf_rf_cl,vtnf_rb_cl,all_cl_y,visits_cl,vtnf_udder_nv_cl,vtnf_lf_nv_cl,vtnf_lb_nv_cl,vtnf_rf_nv_cl,vtnf_rb_nv_cl,vtnf_all_nv_cl,dudder_7d_y,dtnf_lb_7d_y,dtnf_lf_7d_y,dtnf_rf_7d_y,dtnf_rb_7d_y,all_7d_y,dtnf_udder_dim_7d_y,dtnf_lf_dim_7d_y,dtnf_lb_dim_7d_y,dtnf_rf_dim_7d_y,dtnf_rb_dim_7d_y,dtnf_all_dim_7d_y
1003,1,0,0,1,1,0.0,115,0.8695652173913043,0.0,0.0,0.8695652173913043,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,430,0.0,0.0,0.0,0.23255813953488372,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,8,3,2,1,2,0.0,407,1.9656019656019657,0.4914004914004914,0.7371007371007371,0.2457002457002457,0.4914004914004914,0.0,,,,,,,,,,,,,0,3.0,2.0,1.0,2.0,0.0,984,0.0,0.20325203252032523,0.3048780487804878,0.10162601626016261,0.20325203252032523,0.0,,,,,,,,,,,,
1023,1,1,0,0,0,0.0,118,0.847457627118644,0.0,0.847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,347,0.0,0.0,0.2881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1036,7,2,2,0,3,0.0,345,2.0289855072463765,0.5797101449275363,0.5797101449275363,0.0,0.8695652173913043,0.0,,,,,,,,,,,,,0,2.0,2.0,0.0,3.0,0.0,850,0.0,0.2352941176470588,0.2352941176470588,0.0,0.35294117647058826,0.0,,,,,,,,,,,,
1039,8,4,0,3,2,0.0,302,2.6490066225165565,0.0,1.3245033112582782,0.9933774834437087,0.6622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,3.0,2.0,0.0,690,0.0,0.0,0.5797101449275363,0.43478260869565216,0.2898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,1,0,0,0,1,0.0,214,0.46728971962616817,0.0,0.0,0.0,0.46728971962616817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,546,0.0,0.0,0.0,0.0,0.18315018315018314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042,9,6,0,3,0,1.0,286,3.146853146853147,0.0,2.097902097902098,1.048951048951049,0.0,0.34965034965034963,,,,,,,,,,,,,0,6.0,0.0,3.0,0.0,1.0,657,0.0,0.0,0.91324200913242,0.45662100456621,0.0,0.15220700152207,,,,,,,,,,,,
1052,5,1,1,2,1,0.0,252,1.984126984126984,0.3968253968253968,0.3968253968253968,0.7936507936507936,0.3968253968253968,0.0,,,,,,,,,,,,,0,1.0,1.0,3.0,1.0,0.0,765,0.0,0.130718954248366,0.130718954248366,0.39215686274509803,0.130718954248366,0.0,,,,,,,,,,,,
1056,7,2,1,0,4,0.0,315,2.2222222222222223,0.31746031746031744,0.6349206349206349,0.0,1.2698412698412698,0.0,,,,,,,,,,,,,0,2.0,1.0,0.0,4.0,0.0,800,0.0,0.125,0.25,0.0,0.5,0.0,,,,,,,,,,,,
1057,0,0,0,0,0,1.0,20,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,45,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058,6,2,2,0,2,0.0,445,1.348314606741573,0.44943820224719105,0.44943820224719105,0.0,0.44943820224719105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0.0,2.0,0.0,1193,0.0,0.16764459346186086,0.16764459346186086,0.0,0.16764459346186086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,3,0,2,2,1,0.0,284,1.056338028169014,0.7042253521126761,0.0,0.7042253521126761,0.35211267605633806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0,0.0,796,0.0,0.25125628140703515,0.0,0.25125628140703515,0.12562814070351758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,25,8,2,2,15,0.0,294,8.503401360544217,0.6802721088435374,2.7210884353741496,0.6802721088435374,5.1020408163265305,0.0,,,,,,,,,,,,,0,9.0,2.0,2.0,15.0,0.0,717,0.0,0.2789400278940028,1.2552301255230125,0.2789400278940028,2.092050209205021,0.0,,,,,,,,,,,,
1067,1,1,0,0,0,1.0,215,0.46511627906976744,0.0,0.46511627906976744,0.0,0.0,0.46511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,712,0.0,0.0,0.1404494382022472,0.0,0.0,0.1404494382022472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074,1,1,0,0,0,0.0,223,0.4484304932735426,0.0,0.4484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,749,0.0,0.0,0.13351134846461948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,25,1,13,5,8,0.0,306,8.169934640522875,4.248366013071895,0.32679738562091504,1.6339869281045754,2.6143790849673203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,17.0,5.0,8.0,0.0,1280,0.0,1.328125,0.078125,0.390625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,3,3,1,0,0,1.0,258,1.1627906976744187,0.3875968992248062,1.1627906976744187,0.0,0.0,0.3875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,0.0,0.0,1.0,669,0.0,0.14947683109118087,0.4484304932735426,0.0,0.0,0.14947683109118087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,8,4,2,0,2,0.0,264,3.0303030303030303,0.7575757575757576,1.5151515151515151,0.0,0.7575757575757576,0.0,,,,,,,,,,,,,0,4.0,2.0,0.0,2.0,0.0,622,0.0,0.3215434083601286,0.6430868167202572,0.0,0.3215434083601286,0.0,,,,,,,,,,,,
1084,0,0,0,0,0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,8,4,3,1,2,0.0,623,1.2841091492776886,0.4815409309791332,0.6420545746388443,0.16051364365971107,0.32102728731942215,0.0,,,,,,,,,,,,,0,4.0,3.0,1.0,2.0,0.0,745,0.0,0.4026845637583893,0.5369127516778524,0.1342281879194631,0.2684563758389262,0.0,,,,,,,,,,,,
1089,2,2,0,0,0,0.0,201,0.9950248756218906,0.0,0.9950248756218906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,589,0.0,0.0,0.3395585738539898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,2,0,1,0,1,0.0,276,0.7246376811594203,0.36231884057971014,0.0,0.0,0.36231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,719,0.0,0.13908205841446453,0.0,0.0,0.13908205841446453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,7,3,1,0,3,0.0,272,2.5735294117647056,0.3676470588235294,1.1029411764705883,0.0,1.1029411764705883,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0,3.0,1.0,0.0,3.0,0.0,708,0.0,0.14124293785310735,0.423728813559322,0.0,0.423728813559322,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0
1094,11,6,1,4,4,4.0,418,2.631578947368421,0.23923444976076555,1.4354066985645932,0.9569377990430622,0.9569377990430622,0.9569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,4.0,4.0,4.0,1105,0.0,0.09049773755656108,0.5429864253393665,0.36199095022624433,0.36199095022624433,0.36199095022624433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,3,0,0,1,2,0.0,252,1.1904761904761905,0.0,0.0,0.3968253968253968,0.7936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,0.0,771,0.0,0.0,0.0,0.12970168612191957,0.25940337224383914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,5,1,2,2,2,1.0,309,1.6181229773462782,0.6472491909385114,0.3236245954692557,0.6472491909385114,0.6472491909385114,0.3236245954692557,,,,,,,,,,,,,0,1.0,2.0,2.0,2.0,1.0,872,0.0,0.22935779816513763,0.11467889908256881,0.22935779816513763,0.22935779816513763,0.11467889908256881,,,,,,,,,,,,
1100,2,1,0,1,0,0.0,284,0.7042253521126761,0.0,0.35211267605633806,0.35211267605633806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,761,0.0,0.0,0.1314060446780552,0.1314060446780552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,8,4,1,4,0,0.0,178,4.49438202247191,0.5617977528089888,2.247191011235955,2.247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,1.0,4.0,0.0,0.0,631,0.0,0.15847860538827258,0.6339144215530903,0.6339144215530903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,2,1,0,0,1,0.0,212,0.9433962264150944,0.0,0.4716981132075472,0.0,0.4716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,611,0.0,0.0,0.16366612111292964,0.0,0.16366612111292964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,30,18,2,4,6,1.0,294,10.204081632653061,0.6802721088435374,6.122448979591836,1.3605442176870748,2.0408163265306123,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.0,2.0,4.0,6.0,1.0,756,0.0,0.26455026455026454,2.7777777777777777,0.5291005291005291,0.7936507936507936,0.13227513227513227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1116,0,0,0,0,0,0.0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,3,1,1,0,1,0.0,306,0.9803921568627451,0.32679738562091504,0.32679738562091504,0.0,0.32679738562091504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,668,0.0,0.14970059880239522,0.14970059880239522,0.0,0.14970059880239522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1127,1,0,0,0,1,0.0,42,2.380952380952381,0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,101,0.0,0.0,0.0,0.0,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133,4,1,1,1,3,0.0,41,9.75609756097561,2.4390243902439024,2.4390243902439024,2.4390243902439024,7.317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,3.0,0.0,117,0.0,0.8547008547008548,0.8547008547008548,0.8547008547008548,2.564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1139,0,0,0,0,0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1140,0,0,0,0,0,0.0,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1142,0,0,0,0,0,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144,1,1,0,0,0,0.0,86,1.1627906976744187,0.0,1.1627906976744187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,291,0.0,0.0,0.3436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1145,2,0,1,0,1,0.0,65,3.076923076923077,1.5384615384615385,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,206,0.0,0.48543689320388345,0.0,0.0,0.48543689320388345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146,8,4,0,0,4,1.0,460,1.7391304347826086,0.0,0.8695652173913043,0.0,0.8695652173913043,0.21739130434782608,,,,,,,,,,,,,0,4.0,0.0,0.0,4.0,1.0,973,0.0,0.0,0.41109969167523125,0.0,0.41109969167523125,0.10277492291880781,,,,,,,,,,,,
1148,3,0,2,1,0,0.0,130,2.307692307692308,1.5384615384615385,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,0.0,0.0,459,0.0,0.4357298474945534,0.0,0.2178649237472767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1149,14,0,1,6,7,0.0,313,4.472843450479233,0.3194888178913738,0.0,1.9169329073482428,2.2364217252396164,0.0,,,,,,,,,,,,,0,0.0,1.0,7.0,7.0,0.0,834,0.0,0.1199040767386091,0.0,0.8393285371702638,0.8393285371702638,0.0,,,,,,,,,,,,
1151,2,0,1,1,0,0.0,110,1.8181818181818181,0.9090909090909091,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,391,0.0,0.2557544757033248,0.0,0.2557544757033248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,2,2,0,0,0,0.0,75,2.666666666666667,0.0,2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,269,0.0,0.0,0.7434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,23,8,4,2,9,0.0,351,6.552706552706552,1.1396011396011396,2.2792022792022792,0.5698005698005698,2.564102564102564,0.0,,,,,,,,,,,,,0,8.0,4.0,2.0,9.0,0.0,801,0.0,0.4993757802746567,0.9987515605493134,0.24968789013732834,1.1235955056179776,0.0,,,,,,,,,,,,
1159,0,0,0,0,0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,1,0,0,1,0,0.0,18,5.555555555555555,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,61,0.0,0.0,0.0,1.639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,7,1,6,0,0,0.0,101,6.9306930693069315,5.9405940594059405,0.9900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,6.0,0.0,0.0,0.0,301,0.0,1.9933554817275747,0.33222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,0,0,0,0,0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,0,0,0,0,0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,0,0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,2,1,0,1,0,0.0,318,0.628930817610063,0.0,0.3144654088050315,0.3144654088050315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,746,0.0,0.0,0.13404825737265416,0.13404825737265416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,0,0,0,0,0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173,0,0,0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177,0,0,0,0,0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1178,4,3,0,0,1,0.0,63,6.349206349206349,0.0,4.761904761904762,0.0,1.5873015873015872,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,172,0.0,0.0,1.744186046511628,0.0,0.5813953488372093,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0
1184,0,0,0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191,6,1,3,0,2,0.0,328,1.8292682926829267,0.9146341463414633,0.3048780487804878,0.0,0.6097560975609756,0.0,,,,,,,,,,,,,0,1.0,3.0,0.0,2.0,0.0,831,0.0,0.36101083032490977,0.12033694344163659,0.0,0.24067388688327318,0.0,,,,,,,,,,,,
1192,53,23,9,2,21,0.0,353,15.01416430594901,2.5495750708215295,6.515580736543909,0.56657223796034,5.94900849858357,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,0,23.0,9.0,2.0,21.0,0.0,899,0.0,1.0011123470522802,2.5583982202447166,0.22246941045606228,2.3359288097886544,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0
1197,1,0,1,0,0,0.0,19,5.263157894736842,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,50,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198,3,3,0,0,0,2.0,309,0.9708737864077669,0.0,0.9708737864077669,0.0,0.0,0.6472491909385114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,2.0,781,0.0,0.0,0.3841229193341869,0.0,0.0,0.2560819462227913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,6,4,1,0,1,0.0,333,1.8018018018018018,0.3003003003003003,1.2012012012012012,0.0,0.3003003003003003,0.0,,,,,,,,,,,,,0,4.0,1.0,0.0,1.0,0.0,749,0.0,0.13351134846461948,0.5340453938584779,0.0,0.13351134846461948,0.0,,,,,,,,,,,,
1200,19,9,4,3,7,0.0,357,5.322128851540616,1.1204481792717087,2.5210084033613445,0.8403361344537815,1.9607843137254901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,4.0,3.0,7.0,0.0,872,0.0,0.45871559633027525,1.0321100917431194,0.34403669724770647,0.8027522935779817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,5,0,1,2,3,0.0,297,1.6835016835016834,0.33670033670033667,0.0,0.6734006734006733,1.0101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,3.0,0.0,736,0.0,0.1358695652173913,0.0,0.2717391304347826,0.4076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207,7,2,1,2,3,0.0,296,2.364864864864865,0.33783783783783783,0.6756756756756757,0.6756756756756757,1.0135135135135136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,2.0,3.0,0.0,769,0.0,0.13003901170351106,0.26007802340702213,0.26007802340702213,0.3901170351105332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
