animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,udder_dko,total_dko,max,count,ko_days_pc
454,7,0,0,0,0,0,0,241,651,0.0
571,6,3,1,3,3,10,5,28,64,71.42857142857143
627,6,0,0,0,0,0,0,92,250,0.0
628,6,0,0,0,0,0,0,31,79,0.0
686,5,0,0,0,0,0,0,50,154,0.0
703,5,0,0,0,0,0,0,244,658,0.0
711,5,0,0,0,0,0,0,337,911,0.0
722,5,0,0,0,0,0,0,117,318,0.0
723,5,0,0,0,0,0,0,35,82,0.0
729,5,0,0,0,0,0,0,170,430,0.0
736,5,0,0,0,0,0,0,253,645,0.0
738,5,0,0,0,0,0,0,293,851,0.0
747,5,0,0,0,1,1,1,208,537,14.285714285714285
764,5,0,0,0,0,0,0,164,460,0.0
778,5,0,0,0,0,0,0,54,163,0.0
785,5,0,0,0,0,0,0,36,113,0.0
807,5,0,0,0,0,0,0,84,275,0.0
808,5,0,0,0,0,0,0,29,103,0.0
833,4,0,0,0,0,0,0,162,502,0.0
837,4,0,0,0,0,0,0,254,695,0.0
842,4,0,0,0,0,0,0,219,642,0.0
856,4,0,0,0,0,0,0,120,399,0.0
861,4,0,0,1,0,1,1,162,606,14.285714285714285
868,4,0,0,0,1,1,1,60,210,14.285714285714285
872,4,0,0,0,0,0,0,280,785,0.0
896,4,0,1,0,0,1,1,284,749,14.285714285714285
897,4,0,0,0,0,0,0,201,546,0.0
902,4,4,0,0,11,15,7,65,173,100.0
904,4,0,0,0,0,0,0,125,414,0.0
905,4,1,0,0,0,1,1,288,977,14.285714285714285
911,4,0,0,0,0,0,0,293,826,0.0
912,4,0,0,0,0,0,0,278,732,0.0
915,4,0,0,0,0,0,0,246,652,0.0
921,4,0,0,0,0,0,0,249,686,0.0
922,4,0,0,0,0,0,0,181,494,0.0
924,4,0,0,0,0,0,0,88,332,0.0
925,4,1,0,0,0,1,1,192,406,14.285714285714285
929,4,0,0,0,1,1,1,14,36,14.285714285714285
935,4,0,0,0,0,0,0,91,269,0.0
937,3,0,0,0,0,0,0,356,715,0.0
948,3,0,0,0,0,0,0,437,1130,0.0
957,3,0,0,0,0,0,0,335,790,0.0
962,4,1,2,0,0,3,3,118,375,42.857142857142854
970,4,0,0,0,0,0,0,165,541,0.0
971,4,0,0,0,0,0,0,70,204,0.0
973,3,0,0,0,0,0,0,313,848,0.0
975,4,0,0,0,0,0,0,147,462,0.0
978,3,0,0,0,0,0,0,233,774,0.0
981,4,0,1,0,0,1,1,24,76,14.285714285714285
985,3,0,0,0,0,0,0,326,970,0.0
986,4,5,0,0,0,5,4,110,288,57.14285714285714
1003,3,0,0,0,0,0,0,114,429,0.0
1023,4,0,0,0,0,0,0,117,346,0.0
1039,3,0,0,0,0,0,0,302,690,0.0
1040,3,0,0,0,0,0,0,213,545,0.0
1057,4,0,0,1,0,1,1,20,45,14.285714285714285
1058,2,0,0,0,1,1,1,445,1065,14.285714285714285
1061,3,0,0,0,0,0,0,284,796,0.0
1067,3,0,0,0,0,0,0,215,712,0.0
1074,3,1,0,0,0,1,1,222,748,14.285714285714285
1078,3,0,0,0,1,1,1,306,1280,14.285714285714285
1081,3,0,0,0,0,0,0,258,669,0.0
1084,3,0,0,0,0,0,0,150,424,0.0
1089,3,0,0,0,0,0,0,201,589,0.0
1091,3,0,0,0,1,1,1,276,719,14.285714285714285
1092,3,0,0,0,0,0,0,272,708,0.0
1094,2,0,0,0,0,0,0,418,991,0.0
1098,3,0,0,0,0,0,0,252,771,0.0
1100,3,0,0,0,0,0,0,284,761,0.0
1101,3,0,0,0,0,0,0,177,630,0.0
1102,3,0,0,0,0,0,0,212,611,0.0
1104,3,0,0,0,0,0,0,294,756,0.0
1116,3,0,0,0,0,0,0,105,259,0.0
1126,3,0,0,0,0,0,0,306,668,0.0
1127,3,0,0,0,0,0,0,42,101,0.0
1133,3,0,0,0,0,0,0,41,117,0.0
1139,3,0,0,0,0,0,0,54,158,0.0
1140,3,0,0,0,0,0,0,187,615,0.0
1142,3,0,0,0,0,0,0,83,226,0.0
1144,3,0,0,0,0,0,0,86,291,0.0
1145,3,0,0,0,0,0,0,65,206,0.0
1148,3,0,0,0,0,0,0,129,458,0.0
1151,3,0,0,0,0,0,0,110,391,0.0
1153,3,0,0,0,0,0,0,75,269,0.0
1159,3,0,0,0,0,0,0,9,21,0.0
1160,3,1,0,1,0,2,2,18,61,28.57142857142857
1163,3,6,0,0,2,8,6,100,300,85.71428571428571
1164,3,0,0,0,0,0,0,23,55,0.0
1168,3,0,0,0,0,0,0,61,198,0.0
1170,3,0,0,0,0,0,0,14,29,0.0
1171,2,1,0,0,0,1,1,318,746,14.285714285714285
1172,3,0,0,0,0,0,0,85,220,0.0
1173,3,0,0,0,0,0,0,6,19,0.0
1177,3,0,1,0,0,1,1,20,50,14.285714285714285
1178,3,1,0,0,0,1,1,63,172,14.285714285714285
1184,3,0,0,0,0,0,0,4,9,0.0
1192,2,2,0,0,0,2,2,353,899,28.57142857142857
1197,3,0,0,0,0,0,0,19,50,0.0
1198,2,1,0,0,0,1,1,309,781,14.285714285714285
1200,2,0,1,0,0,1,1,356,871,14.285714285714285
1204,2,0,0,0,0,0,0,297,736,0.0
1207,2,0,0,0,0,0,0,296,769,0.0
1212,2,0,0,0,0,0,0,282,630,0.0
1215,2,0,0,0,0,0,0,330,833,0.0
1216,2,0,0,0,0,0,0,293,730,0.0
1219,2,2,1,0,2,5,3,306,699,42.857142857142854
1223,2,0,0,0,0,0,0,312,1108,0.0
1224,2,0,0,0,0,0,0,303,726,0.0
1225,2,0,0,0,0,0,0,312,926,0.0
1231,2,0,0,0,0,0,0,185,571,0.0
1232,2,0,0,0,0,0,0,291,749,0.0
1233,2,0,2,0,0,2,2,246,641,28.57142857142857
1235,2,0,0,0,0,0,0,141,384,0.0
1236,2,0,0,0,0,0,0,203,512,0.0
1237,2,0,0,0,0,0,0,311,729,0.0
1240,2,0,0,0,0,0,0,231,787,0.0
1241,2,0,0,1,0,1,1,119,376,14.285714285714285
1243,2,0,0,0,0,0,0,246,595,0.0
1244,2,0,0,0,0,0,0,131,374,0.0
1245,2,1,0,0,0,1,1,267,654,14.285714285714285
1246,2,0,0,0,0,0,0,248,862,0.0
1252,2,0,0,0,0,0,0,200,406,0.0
1255,2,0,0,0,0,0,0,271,642,0.0
1258,2,0,1,0,0,1,1,186,435,14.285714285714285
1259,2,0,0,0,0,0,0,249,667,0.0
1261,2,0,0,0,0,0,0,141,424,0.0
1262,2,0,1,0,2,3,3,112,299,42.857142857142854
1263,2,0,0,0,0,0,0,184,597,0.0
1264,2,0,15,2,0,17,8,258,699,114.28571428571428
1266,2,0,1,0,0,1,1,222,572,14.285714285714285
1267,2,0,0,0,0,0,0,264,666,0.0
1268,2,0,0,0,0,0,0,15,46,0.0
1270,2,0,0,0,0,0,0,156,361,0.0
1271,2,0,0,1,0,1,1,148,369,14.285714285714285
1272,2,0,0,2,0,2,2,169,472,28.57142857142857
1273,2,0,0,0,0,0,0,206,544,0.0
1274,2,0,0,0,0,0,0,104,299,0.0
1276,2,0,0,0,0,0,0,117,356,0.0
1277,2,0,0,0,0,0,0,175,515,0.0
1279,2,0,0,0,0,0,0,58,158,0.0
1281,2,0,0,0,0,0,0,135,381,0.0
1282,2,0,0,0,0,0,0,72,253,0.0
1283,2,0,0,0,0,0,0,175,600,0.0
1284,2,0,0,0,0,0,0,167,477,0.0
1286,2,0,0,0,0,0,0,116,333,0.0
1288,2,12,2,5,8,27,7,61,150,100.0
1291,2,0,0,0,0,0,0,125,417,0.0
1293,2,1,0,0,1,2,1,166,456,14.285714285714285
1294,2,0,0,0,1,1,1,107,271,14.285714285714285
1295,2,0,0,0,0,0,0,141,377,0.0
1300,2,0,0,0,0,0,0,119,341,0.0
1304,1,0,0,0,0,0,0,369,792,0.0
1305,2,3,0,0,0,3,3,90,247,42.857142857142854
1311,1,0,0,0,0,0,0,381,859,0.0
1312,2,0,0,0,0,0,0,52,161,0.0
1314,2,0,0,0,0,0,0,1,3,0.0
1315,2,0,0,0,0,0,0,43,115,0.0
1319,2,0,0,0,1,1,1,30,75,14.285714285714285
1320,1,0,0,0,0,0,0,414,799,0.0
1321,2,0,0,0,0,0,0,81,218,0.0
1323,2,0,0,0,0,0,0,65,155,0.0
1325,2,0,0,0,0,0,0,85,225,0.0
1327,1,0,0,0,0,0,0,318,734,0.0
1328,2,0,1,0,0,1,1,66,208,14.285714285714285
1329,1,0,0,0,0,0,0,355,920,0.0
1331,1,0,0,0,0,0,0,316,921,0.0
1334,2,0,0,0,1,1,1,48,142,14.285714285714285
1335,2,0,0,0,0,0,0,44,118,0.0
1343,1,0,0,0,0,0,0,352,887,0.0
1352,2,0,0,0,0,0,0,4,9,0.0
1354,1,0,0,0,1,1,1,267,732,14.285714285714285
1359,1,0,0,0,0,0,0,288,821,0.0
1360,1,0,0,0,0,0,0,280,727,0.0
1361,1,0,0,0,0,0,0,246,508,0.0
1362,1,0,0,0,1,1,1,317,880,14.285714285714285
1363,1,0,1,0,0,1,1,298,892,14.285714285714285
1364,1,0,0,0,0,0,0,283,643,0.0
1365,1,0,0,1,0,1,1,290,684,14.285714285714285
1367,1,0,0,0,0,0,0,315,780,0.0
1368,1,0,0,0,0,0,0,282,641,0.0
1370,1,0,0,0,0,0,0,259,716,0.0
1371,1,0,0,0,0,0,0,265,650,0.0
1372,1,0,0,0,0,0,0,295,784,0.0
1374,1,0,0,0,0,0,0,256,566,0.0
1376,1,0,0,0,0,0,0,277,855,0.0
1380,1,0,0,0,0,0,0,301,818,0.0
1382,1,0,0,0,0,0,0,306,874,0.0
1385,1,0,1,0,0,1,1,249,623,14.285714285714285
1388,1,0,0,0,0,0,0,305,780,0.0
1389,1,0,0,0,0,0,0,312,593,0.0
1391,1,0,0,0,0,0,0,256,718,0.0
1395,1,0,0,0,0,0,0,184,552,0.0
1396,1,0,0,0,1,1,1,223,597,14.285714285714285
1397,1,1,0,0,1,2,1,249,688,14.285714285714285
1398,1,0,0,0,0,0,0,257,667,0.0
1399,1,0,0,0,0,0,0,254,701,0.0
1400,1,0,0,0,0,0,0,231,585,0.0
1401,1,0,0,0,0,0,0,251,634,0.0
1404,1,0,0,0,0,0,0,256,953,0.0
1405,1,0,0,0,0,0,0,166,570,0.0
1406,1,0,3,0,1,4,3,212,559,42.857142857142854
1407,1,0,0,0,0,0,0,215,572,0.0
1409,1,0,0,0,1,1,1,180,570,14.285714285714285
1410,1,0,0,0,0,0,0,252,635,0.0
1412,1,0,1,1,0,2,1,200,541,14.285714285714285
1414,1,1,0,0,0,1,1,267,715,14.285714285714285
1417,1,0,0,0,0,0,0,222,619,0.0
1418,1,0,0,0,0,0,0,121,266,0.0
1419,1,0,0,0,0,0,0,235,540,0.0
1422,1,0,0,1,0,1,1,251,668,14.285714285714285
1423,1,1,0,0,2,3,3,195,531,42.857142857142854
1424,1,0,0,1,0,1,1,179,538,14.285714285714285
1425,1,0,0,0,0,0,0,147,407,0.0
1427,1,0,0,0,0,0,0,56,134,0.0
1429,1,0,0,0,0,0,0,203,583,0.0
1430,1,0,0,0,1,1,1,184,486,14.285714285714285
1432,1,0,0,0,0,0,0,92,246,0.0
1433,1,0,0,0,0,0,0,195,601,0.0
1434,1,0,0,0,0,0,0,196,462,0.0
1435,1,0,0,0,0,0,0,130,341,0.0
1436,1,0,0,0,0,0,0,206,573,0.0
1437,1,0,0,0,0,0,0,159,359,0.0
1440,1,0,0,0,0,0,0,149,469,0.0
1442,1,0,0,0,0,0,0,165,412,0.0
1443,1,0,0,0,0,0,0,113,272,0.0
1447,1,0,0,0,0,0,0,162,447,0.0
1449,1,0,0,0,0,0,0,131,353,0.0
1451,1,0,1,14,0,15,7,146,467,100.0
1453,1,0,0,0,0,0,0,93,259,0.0
1454,1,0,0,0,0,0,0,109,270,0.0
1455,1,0,0,0,0,0,0,137,344,0.0
1456,1,0,0,0,0,0,0,131,413,0.0
1457,1,3,0,0,1,4,3,38,108,42.857142857142854
1458,1,0,0,0,0,0,0,52,129,0.0
1460,1,0,0,0,0,0,0,107,286,0.0
1461,1,0,0,0,0,0,0,74,224,0.0
1462,1,1,0,0,0,1,1,17,40,14.285714285714285
1463,1,0,0,0,0,0,0,72,149,0.0
1465,1,0,0,3,0,3,2,107,262,28.57142857142857
1468,1,0,0,0,0,0,0,77,185,0.0
1470,1,0,0,0,1,1,1,39,116,14.285714285714285
1471,1,0,1,0,0,1,1,44,116,14.285714285714285
1472,1,2,0,0,0,2,2,60,151,28.57142857142857
1473,1,0,0,0,0,0,0,21,46,0.0
1474,1,0,0,0,0,0,0,73,189,0.0
1475,1,0,0,0,0,0,0,39,82,0.0
1476,1,1,1,0,3,5,4,33,88,57.14285714285714
1477,1,0,0,0,0,0,0,72,190,0.0
1478,1,0,0,0,0,0,0,72,226,0.0
1479,1,0,0,0,0,0,0,4,9,0.0
1480,1,0,0,1,0,1,1,27,57,14.285714285714285
1483,1,0,1,0,1,2,1,23,57,14.285714285714285
1484,1,0,0,0,0,0,0,1,4,0.0
1485,1,0,0,0,0,0,0,22,64,0.0
1486,1,0,0,0,0,0,0,64,171,0.0
1487,1,0,1,0,0,1,1,25,64,14.285714285714285
1489,1,0,0,0,0,0,0,8,18,0.0
1495,1,1,0,0,1,2,1,21,46,14.285714285714285
1501,1,9,8,6,8,31,6,21,43,85.71428571428571
1503,1,0,0,1,0,1,1,7,15,14.285714285714285
1504,1,0,0,0,0,0,0,12,24,0.0
1507,1,2,0,0,0,2,2,7,15,28.57142857142857
1511,1,0,0,1,0,1,1,3,7,14.285714285714285
