Animal Number;Animal Name;Group Name;Avg Daily Yield Last 7d;Avg. Daily Milkings Last 7 Days;Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Performance Index
1288;;VMS 3 & 4 Group;51.23;2.3;1.86;13;0.43;0.86;1.57;1.00;100
1264;;VMS 1&2 group;36.58;2.9;1.57;11;1.57;0.14;0.00;0.00;100
1451;;VMS 3 & 4 Group;30.33;3.0;1.29;9;0.29;1.00;0.00;0.00;100
902;;VMS 3 & 4 Group;48.09;2.9;1.14;8;0.00;0.00;0.29;1.14;100
1501;;VMS 3 & 4 Group;29.69;2.0;1.00;7;0.86;0.57;1.00;0.71;100
1163;;VMS 1&2 group;53.13;3.0;0.71;5;0.00;0.00;0.57;0.14;100
1476;;VMS 3 & 4 Group;29.58;3.3;0.71;5;0.14;0.00;0.14;0.43;100
986;;VMS 1&2 group;57.76;2.4;0.57;4;0.00;0.00;0.57;0.00;100
1219;;VMS 1&2 group;36.35;2.3;0.57;4;0.14;0.00;0.29;0.29;100
1305;;VMS 1&2 group;49.59;3.0;0.57;4;0.00;0.00;0.57;0.00;100
1406;;VMS 3 & 4 Group;24.95;2.6;0.57;4;0.43;0.00;0.00;0.14;100
571;;VMS 3 & 4 Group;45.20;2.4;0.43;3;0.14;0.29;0.14;0.14;100
962;;VMS 1&2 group;58.43;3.1;0.43;3;0.29;0.00;0.14;0.00;100
1262;;VMS 3 & 4 Group;50.89;2.7;0.43;3;0.14;0.00;0.14;0.14;100
1423;;VMS 3 & 4 Group;35.14;3.0;0.43;3;0.00;0.00;0.29;0.14;100
1457;;VMS 3 & 4 Group;44.91;3.3;0.43;3;0.00;0.00;0.43;0.14;100
1465;;VMS 3 & 4 Group;32.82;3.0;0.43;3;0.00;0.43;0.00;0.00;100
929;;VMS 1&2 group;53.63;3.0;0.29;2;0.14;0.00;0.00;0.14;100
981;;VMS 1&2 group;50.48;3.6;0.29;2;0.14;0.14;0.00;0.00;100
1160;;VMS 3 & 4 Group;43.06;3.4;0.29;2;0.00;0.14;0.14;0.00;100
1233;;VMS 1&2 group;39.17;2.4;0.29;2;0.29;0.00;0.00;0.00;100
1272;;VMS 3 & 4 Group;43.20;2.4;0.29;2;0.00;0.29;0.00;0.00;100
1409;;VMS 3 & 4 Group;40.30;3.7;0.29;2;0.00;0.00;0.00;0.29;100
1412;;VMS 3 & 4 Group;34.55;2.4;0.29;2;0.29;0.14;0.00;0.00;100
1495;;VMS 3 & 4 Group;27.76;2.4;0.29;2;0.00;0.14;0.14;0.29;100
1507;;VMS 3 & 4 Group;10.87;2.0;0.29;2;0.00;0.00;0.29;0.00;100
1511;;VMS 3 & 4 Group;11.96;1.8;0.29;2;0.14;0.29;0.14;0.14;100
747;;VMS 1&2 group;44.29;2.6;0.14;1;0.00;0.00;0.00;0.14;100
861;;VMS 1&2 group;44.92;3.4;0.14;1;0.00;0.14;0.00;0.00;100
896;;VMS 1&2 group;30.64;2.6;0.14;1;0.14;0.00;0.00;0.00;100
922;;VMS 1&2 group;48.14;2.4;0.14;1;0.00;0.14;0.00;0.00;100
925;;VMS 1&2 group;46.23;2.1;0.14;1;0.00;0.00;0.14;0.00;100
1057;;VMS 1&2 group;47.84;2.0;0.14;1;0.00;0.14;0.00;0.00;100
1058;;VMS 1&2 group;40.65;2.4;0.14;1;0.00;0.00;0.00;0.14;100
1177;;VMS 1&2 group;48.88;2.3;0.14;1;0.14;0.00;0.00;0.00;100
1178;;VMS 1&2 group;50.32;2.9;0.14;1;0.00;0.00;0.14;0.00;100
1192;;VMS 1&2 group;41.06;2.4;0.14;1;0.00;0.00;0.14;0.00;100
1198;;VMS 1&2 group;32.75;2.4;0.14;1;0.00;0.00;0.14;0.00;100
1212;;VMS 1&2 group;35.29;2.0;0.14;1;0.00;0.14;0.00;0.00;100
1245;;VMS 1&2 group;47.26;2.4;0.14;1;0.00;0.00;0.14;0.00;100
1258;;VMS 1&2 group;40.16;2.4;0.14;1;0.14;0.00;0.00;0.00;100
1266;;VMS 1&2 group;44.10;2.4;0.14;1;0.14;0.00;0.00;0.00;100
1281;;VMS 3 & 4 Group;48.70;2.7;0.14;1;0.00;0.14;0.00;0.00;100
1293;;VMS 3 & 4 Group;41.14;2.6;0.14;1;0.00;0.00;0.14;0.14;100
1319;;VMS 1&2 group;36.07;3.0;0.14;1;0.00;0.00;0.00;0.14;100
1328;;VMS 3 & 4 Group;44.69;3.4;0.14;1;0.14;0.00;0.00;0.00;100
1334;;VMS 3 & 4 Group;47.92;2.7;0.14;1;0.00;0.00;0.00;0.14;100
1362;;VMS 3 & 4 Group;35.36;2.9;0.14;1;0.00;0.00;0.00;0.14;100
1365;;VMS 3 & 4 Group;37.21;2.6;0.14;1;0.00;0.14;0.00;0.00;100
1385;;VMS 3 & 4 Group;33.89;2.7;0.14;1;0.14;0.00;0.00;0.00;100
1414;;VMS 3 & 4 Group;30.53;1.9;0.14;1;0.00;0.00;0.14;0.00;100
1419;;VMS 3 & 4 Group;30.26;1.9;0.14;1;0.00;0.00;0.00;0.14;100
1422;;VMS 3 & 4 Group;30.05;2.3;0.14;1;0.00;0.14;0.00;0.00;100
1424;;VMS 3 & 4 Group;33.61;3.3;0.14;1;0.00;0.14;0.00;0.00;100
1430;;VMS 3 & 4 Group;41.37;2.4;0.14;1;0.00;0.00;0.00;0.14;100
1453;;VMS 3 & 4 Group;42.62;3.3;0.14;1;0.00;0.00;0.14;0.00;100
1460;;VMS 3 & 4 Group;32.56;3.3;0.14;1;0.00;0.00;0.00;0.14;100
1462;;VMS 3 & 4 Group;35.12;2.6;0.14;1;0.00;0.00;0.14;0.00;100
1471;;VMS 3 & 4 Group;38.40;3.1;0.14;1;0.14;0.00;0.00;0.00;100
1480;;VMS 3 & 4 Group;35.30;2.1;0.14;1;0.00;0.14;0.00;0.00;100
1487;;VMS 3 & 4 Group;36.75;3.0;0.14;1;0.14;0.00;0.00;0.00;100
454;Nova;VMS 1&2 group;21.15;2.4;0.00;;0.00;0.00;0.00;0.00;100
627;;VMS 1&2 group;54.24;2.3;0.00;;0.00;0.00;0.00;0.00;100
628;;VMS 1&2 group;46.99;2.9;0.00;;0.00;0.00;0.00;0.00;100
686;;VMS 3 & 4 Group;71.53;3.3;0.00;;0.00;0.00;0.00;0.00;100
703;;VMS 1&2 group;42.61;2.6;0.00;;0.00;0.00;0.00;0.00;100
722;;VMS 1&2 group;67.31;2.4;0.00;;0.00;0.00;0.00;0.00;100
723;;VMS 1&2 group;40.14;2.0;0.00;;0.00;0.00;0.00;0.00;100
729;;VMS 1&2 group;64.75;2.4;0.00;;0.00;0.00;0.00;0.00;100
736;;VMS 1&2 group;34.76;2.4;0.00;;0.00;0.00;0.00;0.00;100
738;;VMS 1&2 group;31.79;2.7;0.00;;0.00;0.00;0.00;0.00;100
764;;VMS 3 & 4 Group;47.47;2.9;0.00;;0.00;0.00;0.00;0.00;100
778;;VMS 1&2 group;48.95;3.6;0.00;;0.00;0.00;0.00;0.00;100
785;;VMS 1&2 group;52.98;3.4;0.00;;0.00;0.00;0.00;0.00;100
807;;VMS 1&2 group;55.32;3.3;0.00;;0.00;0.00;0.00;0.00;100
808;;VMS 1&2 group;59.89;3.7;0.00;;0.00;0.00;0.00;0.00;100
833;;VMS 1&2 group;37.63;2.6;0.00;;0.00;0.00;0.00;0.00;100
837;;VMS 1&2 group;43.47;2.6;0.00;;0.00;0.00;0.00;0.00;100
842;;VMS 1&2 group;48.20;2.6;0.00;;0.00;0.00;0.00;0.00;100
855;;VMS 3 & 4 Group;12.78;2.0;0.00;;0.00;0.00;0.00;0.00;100
856;;VMS 1&2 group;55.98;3.0;0.00;;0.00;0.00;0.00;0.00;100
868;;VMS 1&2 group;61.38;3.1;0.00;;0.00;0.00;0.00;0.00;100
897;;VMS 1&2 group;51.53;2.9;0.00;;0.00;0.00;0.00;0.00;100
904;;VMS 1&2 group;59.48;3.4;0.00;;0.00;0.00;0.00;0.00;100
905;;VMS 1&2 group;34.88;2.7;0.00;;0.00;0.00;0.00;0.00;100
912;;VMS 1&2 group;31.31;1.6;0.00;;0.00;0.00;0.00;0.00;100
915;;VMS 1&2 group;47.53;2.7;0.00;;0.00;0.00;0.00;0.00;100
921;;VMS 1&2 group;31.46;2.6;0.00;;0.00;0.00;0.00;0.00;100
924;;VMS 1&2 group;60.34;3.6;0.00;;0.00;0.00;0.00;0.00;100
935;;VMS 1&2 group;50.43;3.1;0.00;;0.00;0.00;0.00;0.00;100
948;;VMS 1&2 group;34.08;2.1;0.00;;0.00;0.00;0.00;0.00;100
970;;VMS 3 & 4 Group;49.53;2.9;0.00;;0.00;0.00;0.00;0.00;100
971;;VMS 3 & 4 Group;49.30;3.1;0.00;;0.00;0.00;0.00;0.00;100
973;;VMS 3 & 4 Group;32.21;1.6;0.00;;0.00;0.00;0.00;0.00;100
975;;VMS 1&2 group;56.15;3.0;0.00;;0.00;0.00;0.00;0.00;100
978;;VMS 1&2 group;42.83;3.0;0.00;;0.00;0.00;0.00;0.00;100
1003;;VMS 1&2 group;54.13;3.4;0.00;;0.00;0.00;0.00;0.00;100
1023;;VMS 1&2 group;59.00;2.9;0.00;;0.00;0.00;0.00;0.00;100
1039;;VMS 1&2 group;45.85;2.7;0.00;;0.00;0.00;0.00;0.00;100
1040;;VMS 1&2 group;61.17;2.6;0.00;;0.00;0.00;0.00;0.00;100
1061;;VMS 1&2 group;42.73;2.3;0.00;;0.00;0.00;0.00;0.00;100
1067;;VMS 3 & 4 Group;35.54;3.0;0.00;;0.00;0.00;0.00;0.00;100
1074;;VMS 1&2 group;51.37;3.1;0.00;;0.00;0.00;0.00;0.00;100
1081;;VMS 1&2 group;50.53;2.6;0.00;;0.00;0.00;0.00;0.00;100
1084;;VMS 1&2 group;48.83;2.4;0.00;;0.00;0.00;0.00;0.00;100
1089;;VMS 1&2 group;55.33;2.9;0.00;;0.00;0.00;0.00;0.00;100
1091;;VMS 1&2 group;47.29;2.3;0.00;;0.00;0.00;0.00;0.00;100
1092;;VMS 1&2 group;43.94;2.4;0.00;;0.00;0.00;0.00;0.00;100
1098;;VMS 1&2 group;56.83;2.9;0.00;;0.00;0.00;0.00;0.00;100
1100;;VMS 1&2 group;46.14;2.4;0.00;;0.00;0.00;0.00;0.00;100
1101;;VMS 1&2 group;45.93;3.3;0.00;;0.00;0.00;0.00;0.00;100
1102;;VMS 1&2 group;45.03;2.6;0.00;;0.00;0.00;0.00;0.00;100
1116;;VMS 3 & 4 Group;51.60;2.6;0.00;;0.00;0.00;0.00;0.00;100
1126;;VMS 1&2 group;37.39;1.6;0.00;;0.00;0.00;0.00;0.00;100
1127;;VMS 1&2 group;65.25;2.7;0.00;;0.00;0.00;0.00;0.00;100
1133;;VMS 3 & 4 Group;45.54;3.1;0.00;;0.00;0.00;0.00;0.00;100
1139;;VMS 1&2 group;57.05;3.0;0.00;;0.00;0.00;0.00;0.00;100
1140;;VMS 1&2 group;43.37;3.1;0.00;;0.00;0.00;0.00;0.00;100
1142;;VMS 1&2 group;50.61;3.0;0.00;;0.00;0.00;0.00;0.00;100
1144;;VMS 1&2 group;57.53;3.3;0.00;;0.00;0.00;0.00;0.00;100
1145;;VMS 1&2 group;58.46;2.9;0.00;;0.00;0.00;0.00;0.00;100
1148;;VMS 1&2 group;54.01;3.6;0.00;;0.00;0.00;0.00;0.00;100
1151;;VMS 1&2 group;59.35;3.6;0.00;;0.00;0.00;0.00;0.00;100
1153;;VMS 1&2 group;59.89;3.6;0.00;;0.00;0.00;0.00;0.00;100
1159;;VMS 1&2 group;30.52;2.4;0.00;;0.00;0.00;0.00;0.00;100
1164;;VMS 1&2 group;59.16;3.0;0.00;;0.00;0.00;0.00;0.00;100
1168;;VMS 1&2 group;60.85;3.0;0.00;;0.00;0.00;0.00;0.00;100
1170;;VMS 1&2 group;29.12;2.0;0.00;;0.00;0.00;0.00;0.00;100
1171;;VMS 1&2 group;39.43;2.3;0.00;;0.00;0.00;0.00;0.00;100
1172;;VMS 1&2 group;48.80;2.6;0.00;;0.00;0.00;0.00;0.00;100
1173;;VMS 3 & 4 Group;35.43;2.7;0.00;;0.00;0.00;0.00;0.00;100
1184;;VMS 3 & 4 Group;25.12;1.8;0.00;;0.00;0.00;0.00;0.00;100
1197;;VMS 3 & 4 Group;56.67;2.7;0.00;;0.00;0.00;0.00;0.00;100
1200;;VMS 1&2 group;32.22;2.3;0.00;;0.00;0.00;0.00;0.00;100
1207;;VMS 1&2 group;36.63;2.6;0.00;;0.00;0.00;0.00;0.00;100
1223;;VMS 3 & 4 Group;42.67;3.9;0.00;;0.00;0.00;0.00;0.00;100
1231;;VMS 1&2 group;60.55;3.4;0.00;;0.00;0.00;0.00;0.00;100
1232;;VMS 1&2 group;35.65;1.9;0.00;;0.00;0.00;0.00;0.00;100
1235;;VMS 1&2 group;50.82;2.6;0.00;;0.00;0.00;0.00;0.00;100
1236;;VMS 1&2 group;43.88;2.6;0.00;;0.00;0.00;0.00;0.00;100
1237;;VMS 3 & 4 Group;36.43;2.3;0.00;;0.00;0.00;0.00;0.00;100
1240;;VMS 1&2 group;57.63;3.9;0.00;;0.00;0.00;0.00;0.00;100
1241;;VMS 1&2 group;55.65;3.0;0.00;;0.00;0.00;0.00;0.00;100
1243;;VMS 1&2 group;39.36;2.4;0.00;;0.00;0.00;0.00;0.00;100
1244;;VMS 1&2 group;47.72;2.7;0.00;;0.00;0.00;0.00;0.00;100
1246;;VMS 1&2 group;45.21;3.3;0.00;;0.00;0.00;0.00;0.00;100
1252;;VMS 1&2 group;41.78;2.1;0.00;;0.00;0.00;0.00;0.00;100
1255;;VMS 1&2 group;41.82;2.4;0.00;;0.00;0.00;0.00;0.00;100
1259;;VMS 1&2 group;43.73;2.4;0.00;;0.00;0.00;0.00;0.00;100
1261;;VMS 3 & 4 Group;51.09;2.6;0.00;;0.00;0.00;0.00;0.00;100
1263;;VMS 1&2 group;45.10;3.0;0.00;;0.00;0.00;0.00;0.00;100
1267;;VMS 1&2 group;33.02;1.9;0.00;;0.00;0.00;0.00;0.00;100
1268;;VMS 1&2 group;49.86;3.1;0.00;;0.00;0.00;0.00;0.00;100
1270;;VMS 3 & 4 Group;34.61;2.3;0.00;;0.00;0.00;0.00;0.00;100
1271;;VMS 3 & 4 Group;46.51;2.3;0.00;;0.00;0.00;0.00;0.00;100
1273;;VMS 1&2 group;42.39;2.3;0.00;;0.00;0.00;0.00;0.00;100
1274;;VMS 1&2 group;44.38;3.0;0.00;;0.00;0.00;0.00;0.00;100
1276;;VMS 1&2 group;60.18;3.0;0.00;;0.00;0.00;0.00;0.00;100
1277;;VMS 1&2 group;38.76;2.6;0.00;;0.00;0.00;0.00;0.00;100
1279;;VMS 1&2 group;54.13;3.1;0.00;;0.00;0.00;0.00;0.00;100
1282;;VMS 1&2 group;53.79;3.3;0.00;;0.00;0.00;0.00;0.00;100
1283;;VMS 1&2 group;41.52;2.4;0.00;;0.00;0.00;0.00;0.00;100
1284;;VMS 3 & 4 Group;48.22;3.0;0.00;;0.00;0.00;0.00;0.00;100
1286;;VMS 1&2 group;47.89;3.0;0.00;;0.00;0.00;0.00;0.00;100
1291;;VMS 3 & 4 Group;41.79;3.4;0.00;;0.00;0.00;0.00;0.00;100
1294;;VMS 1&2 group;41.66;2.6;0.00;;0.00;0.00;0.00;0.00;100
1295;;VMS 3 & 4 Group;40.10;3.0;0.00;;0.00;0.00;0.00;0.00;100
1300;;VMS 3 & 4 Group;44.70;3.3;0.00;;0.00;0.00;0.00;0.00;100
1312;;VMS 3 & 4 Group;60.93;3.4;0.00;;0.00;0.00;0.00;0.00;100
1314;;VMS 3 & 4 Group;11.65;1.5;0.00;;0.00;0.00;0.00;0.00;100
1315;;VMS 3 & 4 Group;45.06;3.0;0.00;;0.00;0.00;0.00;0.00;100
1320;;VMS 3 & 4 Group;31.76;1.4;0.00;;0.00;0.00;0.00;0.00;100
1321;;VMS 1&2 group;51.99;3.0;0.00;;0.00;0.00;0.00;0.00;100
1323;;VMS 3 & 4 Group;37.09;2.7;0.00;;0.00;0.00;0.00;0.00;100
1325;;VMS 3 & 4 Group;39.75;2.9;0.00;;0.00;0.00;0.00;0.00;100
1329;;VMS 3 & 4 Group;31.63;2.3;0.00;;0.00;0.00;0.00;0.00;100
1335;;VMS 3 & 4 Group;46.83;2.9;0.00;;0.00;0.00;0.00;0.00;100
1352;;VMS 3 & 4 Group;26.53;1.8;0.00;;0.00;0.00;0.00;0.00;100
1354;;VMS 3 & 4 Group;32.66;1.7;0.00;;0.00;0.00;0.00;0.00;100
1359;;VMS 3 & 4 Group;44.00;3.0;0.00;;0.00;0.00;0.00;0.00;100
1360;;VMS 3 & 4 Group;35.56;2.9;0.00;;0.00;0.00;0.00;0.00;100
1361;;VMS 3 & 4 Group;26.65;1.6;0.00;;0.00;0.00;0.00;0.00;100
1364;;VMS 3 & 4 Group;29.41;1.4;0.00;;0.00;0.00;0.00;0.00;100
1370;;VMS 3 & 4 Group;38.73;2.7;0.00;;0.00;0.00;0.00;0.00;100
1371;;VMS 3 & 4 Group;27.69;1.4;0.00;;0.00;0.00;0.00;0.00;100
1372;;VMS 3 & 4 Group;37.80;2.3;0.00;;0.00;0.00;0.00;0.00;100
1376;;VMS 3 & 4 Group;35.50;3.6;0.00;;0.00;0.00;0.00;0.00;100
1380;;VMS 3 & 4 Group;32.76;3.0;0.00;;0.00;0.00;0.00;0.00;100
1389;;VMS 3 & 4 Group;31.07;1.7;0.00;;0.00;0.00;0.00;0.00;100
1391;;VMS 3 & 4 Group;33.76;2.9;0.00;;0.00;0.00;0.00;0.00;100
1395;;VMS 3 & 4 Group;36.39;3.0;0.00;;0.00;0.00;0.00;0.00;100
1396;;VMS 3 & 4 Group;35.86;2.9;0.00;;0.00;0.00;0.00;0.00;100
1397;;VMS 3 & 4 Group;34.04;3.0;0.00;;0.00;0.00;0.00;0.00;100
1398;;VMS 3 & 4 Group;31.00;2.6;0.00;;0.00;0.00;0.00;0.00;100
1399;;VMS 3 & 4 Group;36.41;2.9;0.00;;0.00;0.00;0.00;0.00;100
1400;;VMS 3 & 4 Group;42.11;2.9;0.00;;0.00;0.00;0.00;0.00;100
1401;;VMS 3 & 4 Group;28.87;2.6;0.00;;0.00;0.00;0.00;0.00;100
1404;;VMS 3 & 4 Group;35.32;4.4;0.00;;0.00;0.00;0.00;0.00;100
1405;;VMS 3 & 4 Group;36.02;3.1;0.00;;0.00;0.00;0.00;0.00;100
1407;;VMS 3 & 4 Group;31.93;2.7;0.00;;0.00;0.00;0.00;0.00;100
1410;;VMS 3 & 4 Group;32.82;2.4;0.00;;0.00;0.00;0.00;0.00;100
1417;;VMS 3 & 4 Group;39.93;2.9;0.00;;0.00;0.00;0.00;0.00;100
1418;;VMS 3 & 4 Group;41.29;2.3;0.00;;0.00;0.00;0.00;0.00;100
1425;;VMS 3 & 4 Group;35.58;2.4;0.00;;0.00;0.00;0.00;0.00;100
1427;;VMS 3 & 4 Group;34.91;2.0;0.00;;0.00;0.00;0.00;0.00;100
1429;;VMS 3 & 4 Group;44.80;3.0;0.00;;0.00;0.00;0.00;0.00;100
1432;;VMS 3 & 4 Group;40.03;2.9;0.00;;0.00;0.00;0.00;0.00;100
1433;;VMS 3 & 4 Group;34.68;3.1;0.00;;0.00;0.00;0.00;0.00;100
1434;;VMS 3 & 4 Group;41.65;2.1;0.00;;0.00;0.00;0.00;0.00;100
1435;;VMS 3 & 4 Group;36.25;2.9;0.00;;0.00;0.00;0.00;0.00;100
1436;;VMS 3 & 4 Group;37.53;2.9;0.00;;0.00;0.00;0.00;0.00;100
1437;;VMS 3 & 4 Group;31.92;2.3;0.00;;0.00;0.00;0.00;0.00;100
1440;;VMS 3 & 4 Group;25.04;3.0;0.00;;0.00;0.00;0.00;0.00;100
1441;;VMS 3 & 4 Group;24.43;2.3;0.00;;0.00;0.00;0.00;0.00;100
1442;;VMS 3 & 4 Group;31.16;2.7;0.00;;0.00;0.00;0.00;0.00;100
1443;;VMS 3 & 4 Group;34.81;2.6;0.00;;0.00;0.00;0.00;0.00;100
1447;;VMS 3 & 4 Group;35.42;3.1;0.00;;0.00;0.00;0.00;0.00;100
1449;;VMS 3 & 4 Group;43.28;2.7;0.00;;0.00;0.00;0.00;0.00;100
1454;;VMS 3 & 4 Group;38.87;2.7;0.00;;0.00;0.00;0.00;0.00;100
1455;;VMS 3 & 4 Group;30.43;3.1;0.00;;0.00;0.00;0.00;0.00;100
1456;;VMS 3 & 4 Group;34.83;3.6;0.00;;0.00;0.00;0.00;0.00;100
1458;;VMS 3 & 4 Group;35.10;3.4;0.00;;0.00;0.00;0.00;0.00;100
1461;;VMS 3 & 4 Group;39.30;3.0;0.00;;0.00;0.00;0.00;0.00;100
1463;;VMS 3 & 4 Group;40.11;2.1;0.00;;0.00;0.00;0.00;0.00;100
1468;;VMS 3 & 4 Group;34.10;2.4;0.00;;0.00;0.00;0.00;0.00;100
1470;;VMS 3 & 4 Group;35.12;4.0;0.00;;0.00;0.00;0.00;0.00;100
1472;;VMS 3 & 4 Group;24.18;2.3;0.00;;0.00;0.00;0.00;0.00;100
1473;;VMS 3 & 4 Group;33.57;2.4;0.00;;0.00;0.00;0.00;0.00;100
1474;;VMS 3 & 4 Group;39.64;2.9;0.00;;0.00;0.00;0.00;0.00;100
1475;;VMS 3 & 4 Group;38.61;2.1;0.00;;0.00;0.00;0.00;0.00;100
1477;;VMS 3 & 4 Group;32.77;2.9;0.00;;0.00;0.00;0.00;0.00;100
1478;;VMS 3 & 4 Group;38.01;3.4;0.00;;0.00;0.00;0.00;0.00;100
1479;;VMS 3 & 4 Group;18.62;1.8;0.00;;0.00;0.00;0.00;0.00;100
1483;;VMS 3 & 4 Group;41.14;3.3;0.00;;0.00;0.00;0.00;0.00;100
1484;;Calving pen;10.93;2.0;0.00;;0.00;0.00;0.00;0.00;100
1485;;VMS 3 & 4 Group;34.14;3.4;0.00;;0.00;0.00;0.00;0.00;100
1486;;VMS 3 & 4 Group;32.65;3.3;0.00;;0.00;0.00;0.00;0.00;100
1489;;VMS 3 & 4 Group;28.74;2.0;0.00;;0.00;0.00;0.00;0.00;100
1503;;VMS 3 & 4 Group;21.77;2.0;0.00;;0.00;0.00;0.00;0.00;100
1504;;VMS 3 & 4 Group;9.99;2.0;0.00;;0.00;0.00;0.00;0.00;100
