Animal Number;Incomplete Milkings Current Lactation;Milk Last Lactation
254;13;15153.98
453;8;12445.57
454;15;13186.00
497;15;13033.58
571;4;12684.65
627;2;11683.20
628;;11977.14
686;3;17831.94
703;7;12622.14
711;7;15311.98
722;;21288.74
723;2;23668.69
729;7;18174.96
736;13;15512.63
738;8;12203.80
747;9;13083.35
764;12;12519.74
778;6;11908.33
783;12;14000.40
785;;12637.40
791;23;13908.50
807;5;15275.06
808;;13592.38
810;4;13069.32
828;7;18851.79
833;23;14479.58
837;3;8407.07
842;3;17709.87
855;;10892.42
856;14;10158.71
861;3;13391.47
868;6;15579.36
872;9;15288.91
896;9;12257.15
897;10;12988.07
902;4;12494.36
904;10;14899.53
905;9;13789.30
911;12;15936.64
912;8;12219.92
915;18;14399.80
922;3;10977.99
924;7;15742.96
925;8;11667.37
929;;15650.74
935;5;15303.81
937;11;13943.49
921;5;12409.98
948;18;17787.02
956;2;16000.38
957;13;17421.94
962;4;10813.95
968;8;13720.93
970;16;15326.06
971;5;12703.78
973;19;19169.30
975;2;14022.02
978;6;21945.24
981;;11879.57
985;11;16193.82
986;4;11423.94
1003;4;16273.22
1014;11;12966.23
1023;5;14706.38
1036;38;12291.62
1039;12;12817.50
1040;5;21948.42
1042;16;13308.27
1052;24;13133.43
1056;10;13001.37
1057;1;13664.23
1058;14;21265.33
1061;4;12354.37
1065;39;12383.29
1067;18;10805.47
1074;5;17241.01
1078;58;15961.01
1081;5;13744.49
1083;20;9025.40
1084;6;10747.28
1088;10;10817.43
1089;6;14848.68
1091;11;14843.23
1092;14;13657.28
1094;27;17284.97
1098;14;19468.91
1100;1;10970.05
1099;8;13112.80
1101;9;13136.26
1102;3;14259.81
1104;51;13258.97
1116;;12448.29
1126;5;13539.94
1127;2;14110.76
1133;2;12597.03
1139;1;14589.28
1140;;10902.32
1142;;11328.50
1144;1;11133.90
1145;3;14009.62
1146;15;13790.35
1148;12;15275.47
1149;21;11188.83
1151;8;14316.82
1153;3;15489.90
1158;35;14208.75
1159;;16383.16
1160;1;10349.74
1163;13;13029.10
1164;;13527.86
1168;1;14201.37
1170;;13950.91
1171;3;16194.25
1172;1;8913.40
1173;;19184.99
1177;;14592.97
1178;6;11931.50
1184;;11034.93
1191;23;7352.02
1192;69;13614.63
1197;;11443.64
1198;10;8318.03
1199;10;12711.16
1200;25;8293.34
1204;13;9380.28
1207;11;7335.49
1212;3;12331.23
1215;18;10483.06
1216;18;12718.82
1219;18;10627.25
1223;16;12017.47
1225;16;6469.36
1231;5;15203.02
1232;10;10095.15
1233;2;12067.95
1235;1;13590.66
1236;1;12581.90
1237;15;9052.65
1240;7;15061.74
1241;1;15547.78
1243;11;9645.98
1244;2;11966.38
1245;10;10512.36
1246;2;11059.73
1252;4;8827.55
1255;5;8748.10
1258;1;9932.14
1259;5;9449.48
1261;7;10526.32
1262;86;13775.97
1263;1;9032.28
1264;4;8800.10
1266;4;9241.84
1267;10;9153.79
1268;;14620.60
1270;11;5337.06
1271;9;9797.38
1272;30;10138.55
1273;2;7502.42
1274;2;8143.64
1276;;11646.44
1277;2;5063.34
1279;;14418.85
1281;1;11023.24
1282;1;13332.44
1283;8;8942.92
1284;20;11796.99
1286;3;5516.97
1288;14;12904.96
1291;4;9151.39
1292;35;
1293;15;8163.96
1294;16;9392.95
1295;4;4668.70
1300;14;8468.77
1304;14;
1305;3;10406.86
1306;65;
1308;22;
1311;15;
1312;2;9910.11
1314;;9577.80
1315;;8329.58
1317;20;
1224;3;12259.05
1319;4;10523.81
1321;6;8382.09
1322;17;
1324;4;
1325;5;7850.54
1320;35;
1327;12;
1323;2;9695.99
1328;6;7830.19
1329;15;
1331;11;
1333;20;
1334;;8613.21
1335;2;8336.24
1337;10;
1339;18;
1343;11;
1344;14;
1346;22;
1348;36;
1351;1;
1352;;8491.97
1354;14;
1356;21;
1359;11;
1360;24;
1361;13;
1362;14;
1363;26;
1364;10;
1365;12;
1366;13;
1367;26;
1368;5;
1370;11;
1371;6;
1372;32;
1373;45;
1374;9;
1375;13;
1376;19;
1377;16;
1378;23;
1380;12;
1382;35;
1385;15;
1388;32;
1389;18;
1391;8;
1395;2;
1396;14;
1397;19;
1398;10;
1399;14;
1400;14;
1401;55;
1404;23;
1405;6;
1406;15;
1407;12;
1409;23;
1410;21;
1412;14;
1414;18;
1417;11;
1418;14;
1419;10;
1422;2;
1423;15;
1424;16;
1425;25;
1427;8;
1429;23;
1430;16;
1432;5;
1433;24;
1434;4;
1435;13;
1436;14;
1437;13;
1440;6;
1441;9;
1442;9;
1443;18;
1447;24;
1449;5;
1451;12;
1453;7;
1454;14;
1455;6;
1456;5;
1457;2;
1458;6;
1460;21;
1461;4;
1462;;
1463;2;
1465;3;
1467;;
1469;;
1468;5;
1470;3;
1471;1;
1472;24;
1473;;
1474;1;
1475;1;
1476;1;
1477;1;
1478;6;
1479;;
1480;1;
1481;;
1483;;
1484;;
1485;2;
1486;11;
1487;1;
1488;;
1489;;
1490;;
1491;;
1492;;
1493;;
1494;;
1495;;
1496;;
1497;;
1498;;
1499;;
1500;;
1501;2;
1502;;
1503;;
1504;3;
1506;;
1507;;
1509;;
1511;;
1510;;
1513;;
1514;;
1515;;
1516;;
1517;;
1519;;
1520;;
1521;;
1522;;
1523;;
1525;;
1526;;
1527;;
1528;;
1530;;
1531;;
1532;;
1533;;
1534;;
1535;;
1536;;
1538;;
1541;;
1542;;
1543;;
1544;;
1545;;
1546;;
1547;;
1548;;
1549;;
1550;;
1553;;
1554;;
1555;;
1556;;
1557;;
1558;;
1505;;
1508;;
1512;;
1518;;
1524;;
1537;;
1540;;
1539;;
1552;;
1559;;
1560;;
1561;;
1562;;
1563;;
1565;;
1566;;
1567;;
1568;;
1569;;
1570;;
1571;;
1572;;
1573;;
1574;;
1575;;
1576;;
1578;;
1579;;
1580;;
1577;;
1581;;
1582;;
1583;;
1584;;
1585;;
1586;;
1588;;
1589;;
1587;;
1590;;
1591;;
1592;;
1593;;
1594;;
1595;;
1596;;
1597;;
1598;;
1599;;
1600;;
1601;;
1602;;
1603;;
1604;;
1605;;
1606;;
1607;;
1608;;
1609;;
13101;;
1611;;
1612;;
1613;;
1614;;
1615;;
1616;;
1617;;
1618;;
1619;;
1620;;
1621;;
1622;;
1623;;
1625;;
1626;;
1627;;
1628;;
1629;;
1630;;
1631;;
1632;;
1633;;
1634;;
1635;;
1636;;
1637;;
1638;;
1639;;
1640;;
1641;;
1642;;
1643;;
1644;;
1645;;
1646;;
1647;;
1648;;
1649;;
1650;;
1651;;
1652;;
1653;;
1654;;
1655;;
1656;;
1657;;
1658;;
1659;;
1660;;
1661;;
1662;;
1663;;
1664;;
1665;;
1666;;
1667;;
1668;;
1669;;
1670;;
1671;;
1672;;
1673;;
1674;;
1675;;
1676;;
1677;;
1678;;
1679;;
1680;;
1681;;
1682;;
1684;;
1685;;
1686;;
1687;;
1688;;
1689;;
1690;;
1691;;
1692;;
1693;;
1694;;
1695;;
1696;;
1697;;
1698;;
1699;;
1700;;
1701;;
1702;;
1703;;
1704;;
1705;;
1706;;
1707;;
1708;;
1709;;
1710;;
1711;;
1712;;
1713;;
1714;;
1715;;
1716;;
1717;;
1718;;
1719;;
1720;;
1721;;
1722;;
1723;;
1724;;
1725;;
1726;;
1727;;
1728;;
1729;;
1730;;
1731;;
1732;;
1733;;
1734;;
1735;;
1564;;
1736;;
1737;;
1738;;
1739;;
1740;;
1741;;
1742;;
1743;;
1744;;
1745;;
1747;;
1746;;
1749;;
1750;;
1751;;
1752;;
1753;;
1755;;
1756;;
1757;;
1758;;
1759;;
1760;;
1761;;
1762;;
1763;;
1764;;
1765;;
1766;;
1767;;
1768;;
1769;;
1770;;
1771;;
1772;;
1773;;
1774;;
1775;;
1776;;
1777;;
1778;;
1779;;
1624;;
1748;;
1780;;
1781;;
1782;;
1783;;
1784;;
1785;;
1786;;
1787;;
1788;;
1789;;
1790;;
1791;;
1792;;
1793;;
1794;;
